Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-01-24,17.85,17.49,17.42,17.38,17.27,18.37,19.82,23.13,24.69,24.19,23.39,22.25,22.37,23.74,23.21,22.36,22.88,19.51,18.11,16.39,15.6,12.7,5.79,3.71,18.73,21.92
2025-01-25,2.8,2.32,1.51,1.31,1.29,1.1,1.49,2.22,2.79,3.07,2.91,2.74,2.95,2.61,2.6,2.36,2.3,2.02,2.27,2.09,2,1.76,1.53,0.52,2.11,2.56
2025-01-26,1.46,1.38,1.52,1.59,2.05,2.27,2.16,2.37,2.37,2.22,2.78,3.24,4.04,4.64,5.04,5.06,5.05,5.04,5.02,4.99,5,4.96,4.64,5,3.5,4.12
2025-01-27,5.06,5.05,5.09,5.49,7.01,9.61,5.03,5.02,8.31,11.02,12.11,7.07,6.55,7,7.05,12.08,12.42,12.06,9.38,7.61,6.83,6.89,8.29,12.55,8.11,9.39
2025-01-28,16.43,15.08,14.74,15.32,14.81,14.87,21.49,28.33,37.44,51.12,63.01,81.22,70.01,87.19,109.44,105.56,126.5,125.61,117.01,105.08,80.71,67.03,51.07,42.23,60.89,89.93
2025-01-29,44.06,42.93,42.37,42.07,42.78,43.99,38.6,71.18,82.34,53.86,46.85,39.25,46.9,30.23,16.37,13.62,12.12,10.96,10.68,9.18,6.39,5.7,5.25,4.54,31.76,31.03
2025-01-30,4.32,4.42,4.61,5.07,5.39,6.01,6.32,6.53,6.99,8.38,8.87,9.18,9.06,8.58,8.3,6.93,6.58,6.86,6.3,6.18,6.03,5.89,5.71,5.32,6.58,7.68
2025-01-31,4.86,4.58,4.58,4.67,4.84,5.22,5.05,5.21,5.34,5.13,5,5.24,5.34,5.14,5,4.8,4.73,4.41,4.28,4.28,4.4,4.4,4.41,4.42,4.81,4.89
2025-02-01,3.79,3.64,3.09,2.76,2.37,2.51,2.94,3.48,3.69,4.22,4.81,5.11,5.33,5.34,5.37,5.43,5.53,5.58,5.52,5.55,6.03,6.15,6.48,7.04,4.66,5.12
2025-02-02,6.88,6.83,6.89,6.64,6.51,6.8,7,8.04,8.6,10.08,11.92,14.5,14.91,14.69,14.43,13.91,16.11,19.58,18.36,25.83,18.26,25.35,27.1,25.24,13.94,15.24
2025-02-03,16.94,17.28,17.61,17.79,22.65,37.54,40.68,76.02,73.62,82.38,88.27,113.36,117.78,115.58,100.45,80,36.4,29.62,20.94,19.3,18.55,16.5,15.65,14.01,49.54,73.14
