Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-02-21,0.81,0.2,0.01,0.01,0.01,0.93,1.36,2,2.84,3.04,3.04,3.23,3,3.37,3.05,3.6,3.19,3.09,2.52,2.61,2.62,2.89,2.53,2.12,2.17,3.05
2025-02-22,1.93,1.7,1.51,1.51,1.58,1.39,1.51,1.53,1.44,1.34,1.74,2.42,2.27,1.99,1.35,1.44,1.56,2.27,2.31,2,1.35,1.6,1.24,0.51,1.65,1.84
2025-02-23,0,-0.01,-0.01,-0.01,0,0,0.01,1.25,1.32,2.05,2.88,3.1,3.85,4,4.01,3.21,4.21,4.86,4.83,4.58,4.23,3.89,3.85,3.87,2.5,3.58
2025-02-24,3.25,2.87,2.22,1.68,1.92,2.43,2.92,2.78,2.92,2.99,2.96,3.06,2.65,2.38,2.24,2,2.08,1.91,2.2,1.88,1.9,1.94,1.99,1.79,2.37,2.44
2025-02-25,1.26,1.12,1.26,1.26,2,3.02,2.93,4.88,5.23,5.47,5.79,5.85,5.86,5.73,5.52,5.64,5.43,5.87,6.42,6.44,7.61,10.22,6.72,6.04,4.9,5.77
2025-02-26,10.63,10.26,10.19,10.42,11.04,20.48,50,73.6,94.12,79.69,44.99,38.31,42.8,37.35,32.73,27.83,28.48,31.25,30.86,23,10.29,10.24,8.98,6.39,31,42.62
2025-02-27,6.39,6.39,7.77,9.57,10.27,13.91,23.01,35.04,46.43,110.08,39.39,39.11,50,39.19,41.19,36.62,35.57,44.77,44.56,44.77,32.87,42.79,40,29.14,34.53,47.64
2025-02-28,4.75,4.56,4.38,4.41,4.57,22.14,40,85.05,154.47,152.31,130.38,78.25,102.99,44.97,43.78,35,47.22,158.05,159.01,67.41,59.56,49.98,40,33.6,63.62,97.82
2025-03-01,40,34.81,44.27,32.56,33.85,50.01,71.74,136.23,139.13,150.07,141.96,160,141.96,105,114.7,105,137.04,125,59.72,34.99,7.79,10.11,4.19,3.42,78.48,117.88
2025-03-02,2.39,2.28,1.96,1.52,1.59,1.58,1.7,1.9,1.95,2,1.63,1.3,0.93,1.11,1.3,2.03,2.54,4.06,3.66,4.02,3.71,3.34,2.93,2.11,2.23,2.21
